Ensembl ID	Gene name	logFC	H3K79me2 GB Coverage
ENSMUSG00000037335	Hand1	-5.36391183245104	0.5352455
ENSMUSG00000048758	Rpl29	-3.80730269901155	0.5640665
ENSMUSG00000006587	Snai3	-3.75525186963923	0.198054
ENSMUSG00000056423	Uts2b	-3.31867242097234	0.0
ENSMUSG00000026347	Tmem163	-3.22268539065969	0.06152755
ENSMUSG00000022487	Gtsf1	-3.17427684140771	0.03379535
ENSMUSG00000085007	Gm11549	-3.10319564850655	0.03808865
ENSMUSG00000044067	Gpr22	-3.04231583960381	0.678294
ENSMUSG00000085944	1700003D09Rik	-2.58390187931295	0.3101375
ENSMUSG00000024907	Gal	-2.47847429439434	0.0
ENSMUSG00000057123	Gja5	-2.36915954604673	0.04950675
ENSMUSG00000052305	Hbb-bs	-2.28124836245735	0.0
ENSMUSG00000073948	Olfr608	-2.269223780624	0.0998649
ENSMUSG00000025270	Alas2	-1.98703956949691	0.0534515
ENSMUSG00000061718	Ppp1r1b	-1.98032691099884	0.3897055
ENSMUSG00000097709	2810429I04Rik	-1.96646355157572	0.0560135
ENSMUSG00000029304	Spp1	-1.96049505394674	0.0
ENSMUSG00000030046	Bmp10	-1.88076042114225	0.496660499999999
ENSMUSG00000001985	Grik3	-1.83895499146275	0.276795
ENSMUSG00000032387	Rbpms2	-1.82798268492081	0.726029
ENSMUSG00000079481	Nhsl2	-1.80942934192509	0.342501
ENSMUSG00000021464	Ror2	-1.772263829336	0.629838
ENSMUSG00000035183	Slc24a5	-1.66172758671434	0.02152865
ENSMUSG00000039145	Camk1d	-1.63909896612696	0.03715035
ENSMUSG00000032845	Alpk2	-1.63207946572461	0.465955499999999
ENSMUSG00000060882	Kcnd2	-1.61202228279598	0.0642587499999999
ENSMUSG00000025813	Homer2	-1.60966607157648	0.537446
ENSMUSG00000013415	Igf2bp1	-1.52997354543401	0.5072575
ENSMUSG00000051159	Cited1	-1.51553755662726	0.6116435
ENSMUSG00000058441	Panx2	-1.47215075522594	0.3685845
ENSMUSG00000004317	Clcn5	-1.47138154386825	0.5194025
ENSMUSG00000058159	T2	-1.39483089164057	0.0
ENSMUSG00000021255	Esrrb	-1.3706031610794	0.142727549999999
ENSMUSG00000020534	Shmt1	-1.34957510706359	0.3520855
ENSMUSG00000025666	Tmem47	-1.34716752763547	0.622999
ENSMUSG00000078815	Cacng6	-1.34079863095661	0.446309
ENSMUSG00000100572	2410021H03Rik	-1.31250432610864	0.1922035
ENSMUSG00000037568	Vash2	-1.29950715963606	0.5819405
ENSMUSG00000021604	Irx4	-1.29834163383686	0.7417305
ENSMUSG00000018893	Mb	-1.28704402972104	0.283865
ENSMUSG00000054966	Lmntd1	-1.28534179098293	0.0094749
ENSMUSG00000047415	Gpr68	-1.28433323668246	0.295571
ENSMUSG00000060969	Irx1	-1.27894218056935	0.6007235
ENSMUSG00000008999	Bmp7	-1.27379844272817	0.697013
ENSMUSG00000026669	Mcm10	-1.25889291569268	0.0116128
ENSMUSG00000087651	1500009L16Rik	-1.25685417282765	0.458469
ENSMUSG00000020902	Ntn1	-1.25338464447592	0.482722
ENSMUSG00000001864	Aif1l	-1.24865907836315	0.3283345
ENSMUSG00000028885	Smpdl3b	-1.24860101665233	0.0066702
ENSMUSG00000004661	Arid3b	-1.24492063907692	0.438072
ENSMUSG00000038417	Fig4	-1.24183274115735	0.17001205
ENSMUSG00000064731	Snord45b	-1.23885096237117	0.992957499999999
ENSMUSG00000001918	Slc1a5	-1.23747567156637	0.371627
ENSMUSG00000018509	Cenpv	-1.23321346234954	0.215003999999999
ENSMUSG00000050840	Cdh20	-1.22643043818012	0.1245148
ENSMUSG00000006585	Cdt1	-1.21334600825114	0.4811375
ENSMUSG00000036875	Dna2	-1.20465468163771	0.07479745
ENSMUSG00000091402	Rd3l	-1.19562308847658	0.2569095
ENSMUSG00000045659	Plekha7	-1.19549203835493	0.534515
ENSMUSG00000034330	Plcg2	-1.19052991691898	0.05724075
ENSMUSG00000001504	Irx2	-1.18903854352105	0.5064135
ENSMUSG00000031881	Cdh16	-1.18716951647006	0.2831985
ENSMUSG00000030671	Pde3b	-1.18343671249164	0.284397
ENSMUSG00000050592	Fam78a	-1.17752968495302	0.647861
ENSMUSG00000060716	Plekhh1	-1.16603064626351	0.0727906
ENSMUSG00000030433	Sbk2	-1.15933844686313	0.006403
ENSMUSG00000029777	Gars	-1.15623052472243	0.309405999999999
ENSMUSG00000092060	Bend4	-1.14818421276229	0.526518
ENSMUSG00000025742	Prps2	-1.14341610501895	0.303736
ENSMUSG00000010066	Cacna2d2	-1.14042453979777	0.03970105
ENSMUSG00000031103	Elf4	-1.13581451580313	0.5296045
ENSMUSG00000116673	A630089N07Rik	-1.12740078729323	0.0147336
ENSMUSG00000007617	Homer1	-1.11943263208691	0.554225
ENSMUSG00000018263	Tbx5	-1.11869836302313	0.5111225
ENSMUSG00000049097	Ankrd34a	-1.11414192447496	0.6595545
ENSMUSG00000092397	C130080G10Rik	-1.11335817066433	0.6265425
ENSMUSG00000003934	Efnb3	-1.11309098124211	0.421164499999999
ENSMUSG00000006517	Mvd	-1.10667033282556	0.15974325
ENSMUSG00000017499	Cdc6	-1.10513334806675	0.354709
ENSMUSG00000026196	Bard1	-1.10298459544232	0.326223999999999
ENSMUSG00000031596	Slc7a2	-1.10095962826313	0.275216
ENSMUSG00000023169	Slc38a1	-1.09412548881636	0.538177
ENSMUSG00000024044	Epb41l3	-1.09392881890631	0.318751
ENSMUSG00000042895	Abra	-1.08847266038887	0.7178035
ENSMUSG00000052302	Tbc1d30	-1.0874720401492	0.06335545
ENSMUSG00000037991	Rmi2	-1.0692623930303	0.11884365
ENSMUSG00000047197	Gjd3	-1.06855023152027	0.15770585
ENSMUSG00000053414	Hunk	-1.06354357707505	0.5169805
ENSMUSG00000039748	Exo1	-1.06270107841567	0.0493177999999999
ENSMUSG00000000028	Cdc45	-1.06123664381606	0.0330998
ENSMUSG00000024891	Slc29a2	-1.05598743841813	0.410822
ENSMUSG00000078486	Perm1	-1.05237788394365	0.604963
ENSMUSG00000038718	Pbx3	-1.0465188742256	0.4098845
ENSMUSG00000061086	Myl4	-1.03903869392144	0.3755405
ENSMUSG00000054459	Vsnl1	-1.03852603873717	0.0
ENSMUSG00000027490	E2f1	-1.03549435408169	0.296109
ENSMUSG00000028702	Rad54l	-1.03094341608623	0.0581101
ENSMUSG00000039835	Nhsl1	-1.02114827777583	0.474205499999999
ENSMUSG00000022523	Fgf12	-1.02061503315326	0.0
ENSMUSG00000036377	C530008M17Rik	-1.01873501813677	0.10778055
ENSMUSG00000041272	Tox	-1.01586243701961	0.23447
ENSMUSG00000037474	Dtl	-1.01380583790254	0.440258
ENSMUSG00000087213	2810408I11Rik	-1.01273695386574	0.2617015
ENSMUSG00000022723	Crybg3	-1.01245877502547	0.501864499999999
ENSMUSG00000026458	Ppfia4	-1.01126686537196	0.1922205
ENSMUSG00000049265	Kcnk3	-1.00836762938097	0.5566815
ENSMUSG00000032221	Mns1	-1.0051864920016	0.0
ENSMUSG00000024892	Pcx	-1.003980266862	0.01738395
ENSMUSG00000040010	Slc7a5	-1.00356886717663	0.3922585
ENSMUSG00000034329	Brip1	-0.987210875435981	0.00663375
ENSMUSG00000029406	Pitpnm2	-0.980877764438064	0.5647205
ENSMUSG00000029638	Glcci1	-0.97655082348779	0.463672
ENSMUSG00000022309	Angpt1	-0.976091712954234	0.23661
ENSMUSG00000039485	Tspyl4	-0.974027159227623	0.621423
ENSMUSG00000030353	Tead4	-0.973220756905655	0.03958265
ENSMUSG00000048371	Pdp2	-0.972962431073912	0.368070499999999
ENSMUSG00000048232	Fbxo10	-0.972481603928202	0.561033
ENSMUSG00000032477	Cdc25a	-0.970414907465109	0.38497
ENSMUSG00000037509	Arhgef4	-0.966385171453602	0.321872
ENSMUSG00000025911	Adhfe1	-0.962771925294346	0.10384725
ENSMUSG00000039131	Gipc2	-0.961701892099987	0.2788385
ENSMUSG00000032193	Ldlr	-0.956174303121809	0.320459999999999
ENSMUSG00000020649	Rrm2	-0.954807782367392	0.546309
